Model	AUC-ROC	Accuracy	Precision	Recall	F1	AvgPrecision
Autoencoder	0.9208	0.9888	0.0000	0.0000	0.0000	0.1074
Cnn	0.9986	0.9955	0.7170	0.9856	0.8301	0.9465
Dbscan	0.6502	0.5192	0.0163	0.7032	0.0318	0.0459
Decision Tree	0.9967	0.9967	0.7788	0.9856	0.8701	0.9325
Dnn	0.9991	0.9968	0.7866	0.9807	0.8730	0.9556
Gmm	0.9528	0.9561	0.1737	0.7730	0.2837	0.1630
Isolation Forest	0.8967	0.9020	0.0660	0.5876	0.1187	0.1660
Kmeans	0.6438	0.9414	0.0268	0.1192	0.0438	0.0267
Logistic Regression	0.9905	0.9929	0.6350	0.8694	0.7339	0.8461
Pca Anomaly	0.5426	0.9405	0.0179	0.0795	0.0292	0.0263
Random Forest	0.9999	0.9993	0.9484	0.9958	0.9715	0.9942
Svm	0.9973	0.9908	0.5524	0.9705	0.7041	0.8559
Xgboost	0.9997	0.9971	0.7970	0.9952	0.8851	0.9773
Ensemble	0.9996	0.9977	0.8499	0.9651	0.9039	0.9562
