CIK	Status
------------------------------
1000230	Non-Fraudulent
1000623	Non-Fraudulent
1001316	Non-Fraudulent
1001385	Non-Fraudulent
1002638	Non-Fraudulent
100378	Non-Fraudulent
10048	Non-Fraudulent
100493	Non-Fraudulent
1005101	Non-Fraudulent
1005409	Non-Fraudulent
1006424	Non-Fraudulent
1007019	Non-Fraudulent
101382	Non-Fraudulent
1013880	Non-Fraudulent
1013934	Non-Fraudulent
1014739	Non-Fraudulent
1016125	Non-Fraudulent
1017110	Non-Fraudulent
101778	Non-Fraudulent
1018281	Non-Fraudulent
101829	Non-Fraudulent
1018840	Non-Fraudulent
1018979	Non-Fraudulent
1020569	Non-Fraudulent
1022079	Non-Fraudulent
1022671	Non-Fraudulent
1022899	Non-Fraudulent
1030192	Non-Fraudulent
1030469	Non-Fraudulent
10329	Non-Fraudulent
103379	Non-Fraudulent
1035983	Non-Fraudulent
1037131	Non-Fraudulent
1037189	Non-Fraudulent
1039399	Non-Fraudulent
1040161	Non-Fraudulent
1040719	Non-Fraudulent
1040765	Non-Fraudulent
1042187	Non-Fraudulent
1042776	Non-Fraudulent
104938	Fraudulent
108772	Fraudulent
109156	Fraudulent
109471	Fraudulent
109831	Fraudulent
215219	Fraudulent
216228	Fraudulent
277809	Fraudulent
278352	Fraudulent
319815	Fraudulent
6284	Fraudulent
None	unknown
