Document_ID                              | CIK             | Date         | Label          
------------------------------------------------------------------------------------------
NonFraud_1000230_20231220_1603           | 1000230         | 20231220     | nonfraud       
NonFraud_1000623_20140228_704            | 1000623         | 20140228     | nonfraud       
NonFraud_1001316_20160315_904            | 1001316         | 20160315     | nonfraud       
NonFraud_1001316_20190301_1204           | 1001316         | 20190301     | nonfraud       
NonFraud_1001385_20230316_1604           | 1001385         | 20230316     | nonfraud       
NonFraud_1002638_20140731_705            | 1002638         | 20140731     | nonfraud       
NonFraud_100378_20230908_1605            | 100378          | 20230908     | nonfraud       
NonFraud_10048_20191223_1205             | 10048           | 20191223     | nonfraud       
NonFraud_100493_20231113_1606            | 100493          | 20231113     | nonfraud       
NonFraud_1005101_20210922_1404           | 1005101         | 20210922     | nonfraud       
NonFraud_1005409_20140313_706            | 1005409         | 20140313     | nonfraud       
NonFraud_1006424_20140328_707            | 1006424         | 20140328     | nonfraud       
NonFraud_1007019_20170127_1004           | 1007019         | 20170127     | nonfraud       
NonFraud_101382_20190301_1207            | 101382          | 20190301     | nonfraud       
NonFraud_1013880_20230228_1607           | 1013880         | 20230228     | nonfraud       
NonFraud_1013934_20140226_708            | 1013934         | 20140226     | nonfraud       
NonFraud_1014739_20150302_804            | 1014739         | 20150302     | nonfraud       
NonFraud_1016125_20150227_805            | 1016125         | 20150227     | nonfraud       
NonFraud_1017110_20210414_1405           | 1017110         | 20210414     | nonfraud       
NonFraud_101778_20200220_1304            | 101778          | 20200220     | nonfraud       
NonFraud_1018281_20150928_806            | 1018281         | 20150928     | nonfraud       
NonFraud_101829_20200206_1305            | 101829          | 20200206     | nonfraud       
NonFraud_1018840_20150330_807            | 1018840         | 20150330     | nonfraud       
NonFraud_1018979_20210226_1406           | 1018979         | 20210226     | nonfraud       
NonFraud_1020569_20170223_1005           | 1020569         | 20170223     | nonfraud       
NonFraud_1022079_20140218_709            | 1022079         | 20140218     | nonfraud       
NonFraud_1022671_20230228_1608           | 1022671         | 20230228     | nonfraud       
NonFraud_1022899_20150925_808            | 1022899         | 20150925     | nonfraud       
NonFraud_1022899_20210325_1407           | 1022899         | 20210325     | nonfraud       
NonFraud_1030192_20190401_1208           | 1030192         | 20190401     | nonfraud       
NonFraud_1030469_20200303_1306           | 1030469         | 20200303     | nonfraud       
NonFraud_10329_20220131_1503             | 10329           | 20220131     | nonfraud       
NonFraud_103379_20190524_1209            | 103379          | 20190524     | nonfraud       
NonFraud_1035983_20220223_1504           | 1035983         | 20220223     | nonfraud       
NonFraud_1037131_20140408_710            | 1037131         | 20140408     | nonfraud       
NonFraud_1037189_20170328_1006           | 1037189         | 20170328     | nonfraud       
NonFraud_1039399_20180227_1104           | 1039399         | 20180227     | nonfraud       
NonFraud_1040161_20180314_1105           | 1040161         | 20180314     | nonfraud       
NonFraud_1040719_20140227_711            | 1040719         | 20140227     | nonfraud       
NonFraud_1040765_20210216_1409           | 1040765         | 20210216     | nonfraud       
NonFraud_1042187_20230412_1610           | 1042187         | 20230412     | nonfraud       
NonFraud_1042776_20160217_905            | 1042776         | 20160217     | nonfraud       
Unknown_full-submission_1                | None            | None         | unknown        
Unknown_full-submission_10               | None            | None         | unknown        
Unknown_full-submission_100              | None            | None         | unknown        
Unknown_full-submission_101              | None            | None         | unknown        
Unknown_full-submission_102              | None            | None         | unknown        
Unknown_full-submission_103              | None            | None         | unknown        
Unknown_full-submission_104              | None            | None         | unknown        
Unknown_full-submission_105              | None            | None         | unknown        
Unknown_full-submission_106              | None            | None         | unknown        
Unknown_full-submission_107              | None            | None         | unknown        
Unknown_full-submission_108              | None            | None         | unknown        
Unknown_full-submission_109              | None            | None         | unknown        
Unknown_full-submission_11               | None            | None         | unknown        
Unknown_full-submission_110              | None            | None         | unknown        
Unknown_full-submission_111              | None            | None         | unknown        
Unknown_full-submission_112              | None            | None         | unknown        
Unknown_full-submission_113              | None            | None         | unknown        
Unknown_full-submission_114              | None            | None         | unknown        
Unknown_full-submission_115              | None            | None         | unknown        
Unknown_full-submission_116              | None            | None         | unknown        
Unknown_full-submission_117              | None            | None         | unknown        
Unknown_full-submission_118              | None            | None         | unknown        
Unknown_full-submission_119              | None            | None         | unknown        
Unknown_full-submission_12               | None            | None         | unknown        
Unknown_full-submission_120              | None            | None         | unknown        
Unknown_full-submission_121              | None            | None         | unknown        
Unknown_full-submission_122              | None            | None         | unknown        
Unknown_full-submission_123              | None            | None         | unknown        
Unknown_full-submission_124              | None            | None         | unknown        
Unknown_full-submission_125              | None            | None         | unknown        
Unknown_full-submission_126              | None            | None         | unknown        
Unknown_full-submission_127              | None            | None         | unknown        
Unknown_full-submission_128              | None            | None         | unknown        
Unknown_full-submission_129              | None            | None         | unknown        
Unknown_full-submission_13               | None            | None         | unknown        
Unknown_full-submission_130              | None            | None         | unknown        
Unknown_full-submission_131              | None            | None         | unknown        
Unknown_full-submission_132              | None            | None         | unknown        
Unknown_full-submission_133              | None            | None         | unknown        
Unknown_full-submission_134              | None            | None         | unknown        
Unknown_full-submission_135              | None            | None         | unknown        
Unknown_full-submission_136              | None            | None         | unknown        
Unknown_full-submission_137              | None            | None         | unknown        
Unknown_full-submission_138              | None            | None         | unknown        
Unknown_full-submission_139              | None            | None         | unknown        
Unknown_full-submission_14               | None            | None         | unknown        
Unknown_full-submission_140              | None            | None         | unknown        
Unknown_full-submission_141              | None            | None         | unknown        
Unknown_full-submission_142              | None            | None         | unknown        
Unknown_full-submission_143              | None            | None         | unknown        
