Document_ID                              | Extracted_CIK       
-----------------------------------------------------------------
Unknown_full-submission_1                | 2135                
Unknown_full-submission_10               | 3662                
Unknown_full-submission_100              | 56701               
Unknown_full-submission_101              | 56701               
Unknown_full-submission_102              | 56873               
Unknown_full-submission_103              | 56873               
Unknown_full-submission_104              | 56873               
Unknown_full-submission_105              | 57139               
Unknown_full-submission_106              | 57139               
Unknown_full-submission_107              | 60714               
Unknown_full-submission_108              | 60714               
Unknown_full-submission_109              | 70318               
Unknown_full-submission_11               | 6284                
Unknown_full-submission_110              | 70318               
Unknown_full-submission_111              | 70318               
Unknown_full-submission_112              | 70578               
Unknown_full-submission_113              | 70578               
Unknown_full-submission_114              | 70578               
Unknown_full-submission_115              | 70578               
Unknown_full-submission_116              | 71829               
Unknown_full-submission_117              | 71829               
Unknown_full-submission_118              | 71829               
Unknown_full-submission_119              | 71829               
Unknown_full-submission_12               | 6284                
Unknown_full-submission_120              | 72911               
Unknown_full-submission_121              | 72911               
Unknown_full-submission_122              | 73568               
Unknown_full-submission_123              | 73568               
Unknown_full-submission_124              | 73887               
Unknown_full-submission_125              | 73887               
Unknown_full-submission_126              | 73887               
Unknown_full-submission_127              | 73887               
Unknown_full-submission_128              | 77155               
Unknown_full-submission_129              | 77155               
Unknown_full-submission_13               | 6284                
Unknown_full-submission_130              | 84129               
Unknown_full-submission_131              | 84129               
Unknown_full-submission_132              | 97216               
Unknown_full-submission_133              | 97216               
Unknown_full-submission_134              | 97216               
Unknown_full-submission_135              | 97216               
Unknown_full-submission_136              | 97854               
Unknown_full-submission_137              | 97854               
Unknown_full-submission_138              | 98222               
Unknown_full-submission_139              | 98222               
Unknown_full-submission_14               | 6284                
Unknown_full-submission_140              | 103872              
Unknown_full-submission_141              | 103872              
Unknown_full-submission_142              | 104938              
Unknown_full-submission_143              | 104938              
